squareMeters,rooms,latitude,longitude,centreDistance,poiCount,price,date,hasParkingSpace_no,hasParkingSpace_yes,hasBalcony_no,hasBalcony_yes,hasBalcony_no,hasBalcony_yes,hasBalcony_no,hasBalcony_yes,hasSecurity_no,hasSecurity_yes,hasStorageRoom_no,hasStorageRoom_yes
124.0,6.0,52.1941,21.0621,5.78,7.0,13500,November 2023,0,1,0,1,0,1,0,1,0,1,1,0
36.0,2.0,52.2321989,21.0594866,3.81,54.0,2950,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
29.0,1.0,52.2208,21.0205,1.67,70.0,3200,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
60.0,2.0,52.236,21.0054,0.49,58.0,5000,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
115.0,4.0,52.1828423,21.0452752,6.13,7.0,8800,November 2023,0,1,1,0,1,0,1,0,1,0,1,0
50.6,2.0,52.19350587,21.0506318,5.32,2.0,3000,November 2023,1,0,0,1,0,1,0,1,1,0,0,1
51.0,3.0,52.1795,20.9933,5.85,14.0,4700,November 2023,0,1,0,1,0,1,0,1,1,0,0,1
96.0,4.0,52.17616109,21.06579551,7.49,15.0,7500,November 2023,0,1,0,1,0,1,0,1,0,1,1,0
26.0,1.0,52.22636135,21.03699187,2.35,22.0,3000,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
76.51,3.0,52.189131,21.039992,5.35,3.0,10900,November 2023,0,1,0,1,0,1,0,1,1,0,0,1
90.0,3.0,52.17168,21.07812,8.39,12.0,7900,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
41.0,2.0,52.24017,20.90149,7.01,20.0,3000,November 2023,1,0,0,1,0,1,0,1,0,1,1,0
38.2,2.0,52.193272,20.901044,8.19,22.0,3000,November 2023,0,1,0,1,0,1,0,1,0,1,1,0
52.9,2.0,52.3347,20.94,12.24,15.0,2800,November 2023,1,0,0,1,0,1,0,1,0,1,1,0
33.0,1.0,52.2066944,21.0394696,3.7,18.0,3000,November 2023,0,1,1,0,1,0,1,0,1,0,1,0
86.0,4.0,52.224277,21.076369,5.03,9.0,6000,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
58.0,2.0,52.318475,20.959253,10.11,18.0,3500,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
69.0,3.0,52.3182857,20.96904427,9.91,17.0,4300,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
73.31,4.0,52.16269,21.06671,8.8,17.0,7000,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
31.0,1.0,52.2138584,21.0216938,2.34,26.0,2900,November 2023,0,1,0,1,0,1,0,1,0,1,1,0
49.73,3.0,52.1972,21.00553,3.84,27.0,3900,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
83.0,3.0,52.2070412,21.0486916,4.12,13.0,5300,November 2023,0,1,0,1,0,1,0,1,0,1,1,0
52.7,2.0,52.26045,20.92186,6.41,8.0,3000,November 2023,0,1,1,0,1,0,1,0,1,0,1,0
96.62,4.0,52.16774,21.07727,8.71,11.0,9000,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
41.62,2.0,52.16548,21.06976,8.64,17.0,3100,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
84.7,4.0,52.1457466,21.0500565,10.07,39.0,5600,November 2023,0,1,1,0,1,0,1,0,1,0,0,1
68.0,3.0,52.26322,20.91702,6.85,3.0,3500,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
44.0,2.0,52.2414,21.0007,1.09,51.0,4400,November 2023,0,1,1,0,1,0,1,0,1,0,1,0
92.4,3.0,52.234476,21.0155519,0.87,113.0,9000,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
48.5,2.0,52.22779,21.09104,5.97,19.0,2700,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
58.9,2.0,52.1342164,21.0613003,11.53,43.0,3450,November 2023,0,1,0,1,0,1,0,1,1,0,0,1
45.0,3.0,52.23180608,21.06635558,4.28,25.0,2800,November 2023,1,0,1,0,1,0,1,0,1,0,0,1
120.0,4.0,52.194,20.99249,4.26,21.0,12000,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
40.0,2.0,52.14186813,21.04697915,10.42,23.0,3200,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
44.72,2.0,52.243,21.07661,5.13,47.0,3500,November 2023,1,0,0,1,0,1,0,1,1,0,0,1
50.0,2.0,52.2028935,21.025021,3.52,30.0,2500,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
48.0,2.0,52.2877046,21.0834055,8.26,3.0,2500,November 2023,1,0,0,1,0,1,0,1,0,1,1,0
60.0,2.0,52.2572315,20.9936685,2.92,32.0,4300,November 2023,1,0,0,1,0,1,0,1,0,1,1,0
65.0,2.0,52.2640353,20.9616858,4.59,15.0,4100,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
53.0,2.0,52.189,21.0033,4.75,21.0,4900,November 2023,0,1,0,1,0,1,0,1,0,1,1,0
55.0,3.0,52.2036944,20.8839198,8.73,11.0,5750,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
44.0,2.0,52.194157,21.0346955,4.68,4.0,3150,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
44.0,2.0,52.1606855,21.0280485,8.07,20.0,3150,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
68.82,3.0,52.2588423,20.9698846,3.79,35.0,8500,November 2023,0,1,1,0,1,0,1,0,1,0,1,0
106.99,4.0,52.2570189,20.9924608,2.91,34.0,12800,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
26.45,1.0,52.22347,20.958,3.24,7.0,2900,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
71.34,3.0,52.25668,20.91633,6.56,17.0,3500,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
42.5,2.0,52.15938925,21.02218946,8.14,16.0,2500,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
72.0,3.0,52.23439,20.98912,1.03,81.0,6900,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
31.32,1.0,52.22971258,20.99750244,0.47,67.0,2800,November 2023,1,0,1,0,1,0,1,0,1,0,0,1
65.0,3.0,52.2431613,20.9001038,7.16,13.0,5500,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
34.6,1.0,52.25333,21.00448,2.4,37.0,2500,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
31.56,1.0,52.2253687,21.0899883,5.93,21.0,2400,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
60.0,2.0,52.2481,21.0129,1.93,83.0,3800,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
39.12,2.0,52.2766817,20.9523803,6.09,28.0,2700,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
49.78,2.0,52.2362039,20.9396197,4.38,20.0,4000,November 2023,0,1,1,0,1,0,1,0,1,0,1,0
48.0,2.0,52.2349,21.0056,0.38,66.0,3600,November 2023,0,1,1,0,1,0,1,0,1,0,1,0
50.0,2.0,52.194157,21.0346955,4.68,4.0,4500,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
58.45,3.0,52.26757173,21.0482544,5.02,5.0,3900,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
35.89,2.0,52.1848951,21.00954706,5.22,17.0,3650,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
101.0,4.0,52.1680244,21.10844473,10.06,7.0,7900,November 2023,0,1,1,0,1,0,1,0,1,0,1,0
93.0,4.0,52.13161095,21.05894315,11.75,45.0,7500,November 2023,0,1,0,1,0,1,0,1,1,0,0,1
65.0,3.0,52.17655,21.01398,6.17,9.0,6500,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
40.0,2.0,52.22209,20.89775,7.29,11.0,3400,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
47.0,2.0,52.2338,20.9689,2.37,36.0,4550,November 2023,0,1,1,0,1,0,1,0,0,1,1,0
48.0,2.0,52.19851,20.86717,10.0,11.0,2500,November 2023,1,0,0,1,0,1,0,1,1,0,0,1
43.0,2.0,52.2644,21.04493,4.6,12.0,3500,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
48.0,2.0,52.27027,20.97883,4.61,44.0,3500,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
49.0,2.0,52.2861032,20.9294982,7.87,19.0,2700,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
39.5,2.0,52.26482665,21.04357452,4.58,14.0,3600,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
74.0,3.0,52.205,21.0456,4.13,16.0,3800,November 2023,1,0,0,1,0,1,0,1,0,1,1,0
42.0,2.0,52.2225119,20.9403179,4.43,34.0,2800,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
35.29,2.0,52.206868,20.964627,3.83,14.0,2600,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
78.0,4.0,52.2368295,20.9876185,1.23,71.0,7000,November 2023,1,0,1,0,1,0,1,0,1,0,0,1
90.0,4.0,52.17536405,20.99536541,6.29,32.0,6000,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
51.0,2.0,52.2404664,20.91628979,6.02,13.0,2500,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
45.0,2.0,52.19846499,21.01946032,3.85,32.0,2900,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
47.0,2.0,52.318456,21.067442,10.58,9.0,2850,November 2023,0,1,0,1,0,1,0,1,1,0,0,1
44.0,2.0,52.2284991,20.9120145,6.24,19.0,3500,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
51.0,2.0,52.1749469,20.9996002,6.32,27.0,4000,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
45.0,3.0,52.24518545,21.09959239,6.71,26.0,2400,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
38.3,2.0,52.2360568,21.0606137,3.92,40.0,2500,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
130.0,6.0,52.23543,21.03282,2.04,31.0,10000,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
50.0,2.0,52.23789,20.97774,1.89,37.0,3500,November 2023,1,0,1,0,1,0,1,0,1,0,0,1
55.4,2.0,52.2454228,20.97803995,2.31,19.0,4100,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
95.0,3.0,52.21771,21.01579,1.77,47.0,10000,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
48.0,2.0,52.25941,21.05001,4.41,20.0,3800,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
100.0,3.0,52.23417,21.01867,1.06,105.0,9000,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
42.0,2.0,52.3291,20.941,11.64,22.0,2750,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
101.0,3.0,52.18796,20.99394,4.91,26.0,12000,November 2023,0,1,1,0,1,0,1,0,0,1,1,0
25.03,1.0,52.18402,21.01462,5.36,15.0,3600,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
49.37,3.0,52.1989,20.95181,5.07,11.0,4500,November 2023,1,0,0,1,0,1,0,1,0,1,1,0
65.0,3.0,52.23207,21.10887,7.17,12.0,4500,November 2023,1,0,0,1,0,1,0,1,0,1,1,0
93.0,3.0,52.21901,20.99206,1.62,20.0,7500,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
120.0,4.0,52.1849,21.03227,5.56,5.0,12700,November 2023,1,0,1,0,1,0,1,0,0,1,1,0
55.0,2.0,52.23196,20.9925,0.75,77.0,5000,November 2023,1,0,0,1,0,1,0,1,0,1,1,0
43.0,2.0,52.24122,21.0003,1.08,53.0,4800,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
56.0,3.0,52.23527,20.96045,2.96,29.0,3900,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
51.0,2.0,52.18796,20.99394,4.91,26.0,5500,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
140.0,5.0,52.23522,21.05688,3.65,61.0,18000,November 2023,0,1,0,1,0,1,0,1,1,0,1,0
88.0,4.0,52.24419,21.01137,1.49,59.0,6400,November 2023,1,0,1,0,1,0,1,0,1,0,1,0
45.23,2.0,52.23899,21.07619,5.01,22.0,3200,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
130.0,4.0,52.22561,21.02157,1.4,65.0,20000,November 2023,1,0,0,1,0,1,0,1,1,0,1,0
